epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,2515.7,0.997,0.5363,0.91209,0.92484,0.84125,0.92557,0.70224,0.8714,0.46392,0.89685,0.006436,0.006436,0.006436
74,2549.23,0.99536,0.5372,0.91179,0.92731,0.84344,0.92686,0.70323,0.87502,0.46695,0.89885,0.0063865,0.0063865,0.0063865
75,2583.2,0.99283,0.53317,0.9104,0.93311,0.83872,0.92617,0.70351,0.87053,0.4641,0.89472,0.006337,0.006337,0.006337
76,2617.12,0.98885,0.53071,0.90925,0.92932,0.83906,0.92621,0.7035,0.87211,0.46527,0.89512,0.0062875,0.0062875,0.0062875
77,2651.26,0.9859,0.52892,0.90975,0.93662,0.83366,0.92704,0.70579,0.85697,0.46402,0.89358,0.006238,0.006238,0.006238
78,2686.16,0.97984,0.52812,0.9087,0.93692,0.83301,0.92617,0.70696,0.86029,0.45926,0.89088,0.0061885,0.0061885,0.0061885
79,2720.4,0.98418,0.52814,0.90914,0.93625,0.84344,0.92981,0.70482,0.86959,0.45863,0.89463,0.006139,0.006139,0.006139
80,2755.07,0.97757,0.52643,0.90615,0.93391,0.84228,0.92929,0.70763,0.85732,0.45734,0.89193,0.0060895,0.0060895,0.0060895
81,2789.93,0.97732,0.52389,0.90524,0.9413,0.83823,0.9309,0.7114,0.85829,0.45362,0.89269,0.00604,0.00604,0.00604
82,2824.44,0.97992,0.52582,0.90763,0.93846,0.83893,0.92946,0.71373,0.847,0.45153,0.89023,0.0059905,0.0059905,0.0059905
83,2859.7,0.97484,0.52378,0.90656,0.92807,0.84881,0.93003,0.71174,0.86731,0.45302,0.89057,0.005941,0.005941,0.005941
84,2894.15,0.97561,0.52104,0.90303,0.92746,0.84537,0.9292,0.71577,0.84551,0.4519,0.88805,0.0058915,0.0058915,0.0058915
85,2928.8,0.97013,0.5205,0.90725,0.93139,0.84009,0.92879,0.71336,0.84425,0.45596,0.88906,0.005842,0.005842,0.005842
86,2962.73,0.9653,0.51994,0.90698,0.92835,0.84739,0.92969,0.71535,0.83909,0.44914,0.88998,0.0057925,0.0057925,0.0057925
87,2996.59,0.96415,0.52099,0.90355,0.93903,0.84009,0.93213,0.7177,0.84144,0.44623,0.88934,0.005743,0.005743,0.005743
88,3030.8,0.96894,0.52059,0.90713,0.9359,0.84218,0.93066,0.71522,0.84408,0.44934,0.88933,0.0056935,0.0056935,0.0056935
89,3064.86,0.96527,0.51777,0.90291,0.93014,0.8503,0.93144,0.7175,0.84397,0.44893,0.89023,0.005644,0.005644,0.005644
90,3098.87,0.96469,0.51923,0.90384,0.93243,0.84576,0.93371,0.72013,0.838,0.4451,0.88778,0.0055945,0.0055945,0.0055945
91,3132.28,0.95591,0.51325,0.90469,0.92733,0.85104,0.93193,0.71676,0.83657,0.44633,0.8901,0.005545,0.005545,0.005545
92,3165.86,0.94938,0.51142,0.9031,0.92668,0.84618,0.92957,0.71812,0.8346,0.44415,0.88887,0.0054955,0.0054955,0.0054955
93,3199.68,0.96052,0.51446,0.90369,0.93395,0.85271,0.93296,0.72193,0.83618,0.44289,0.88684,0.005446,0.005446,0.005446
94,3233.62,0.94501,0.50742,0.9019,0.93403,0.84666,0.93114,0.72252,0.82046,0.44273,0.88554,0.0053965,0.0053965,0.0053965
95,3267.82,0.95079,0.51132,0.90189,0.93192,0.85194,0.93444,0.72622,0.82135,0.44012,0.88464,0.005347,0.005347,0.005347
96,3302.01,0.94443,0.50916,0.89934,0.93707,0.84267,0.93249,0.7201,0.8248,0.44076,0.88489,0.0052975,0.0052975,0.0052975
97,3335.88,0.95079,0.51052,0.9017,0.93369,0.84842,0.93309,0.72459,0.82259,0.43546,0.88397,0.005248,0.005248,0.005248
98,3369.89,0.95017,0.50841,0.90031,0.929,0.85246,0.93317,0.72434,0.82725,0.44012,0.88487,0.0051985,0.0051985,0.0051985
99,3403.68,0.94542,0.50646,0.90152,0.93374,0.85452,0.93376,0.72515,0.82306,0.43518,0.88392,0.005149,0.005149,0.005149
100,3437.74,0.94454,0.50621,0.89789,0.93489,0.85046,0.93545,0.7271,0.81841,0.4346,0.88377,0.0050995,0.0050995,0.0050995
101,3471.62,0.9429,0.50668,0.90205,0.92903,0.85791,0.93449,0.72628,0.81806,0.4344,0.88291,0.00505,0.00505,0.00505
102,3505.29,0.93805,0.50364,0.89797,0.9354,0.85142,0.9345,0.72598,0.82626,0.43739,0.8832,0.0050005,0.0050005,0.0050005
103,3539.16,0.94081,0.50345,0.8973,0.93082,0.85409,0.93422,0.72788,0.81324,0.43479,0.88097,0.004951,0.004951,0.004951
104,3572.51,0.93613,0.50092,0.89814,0.93397,0.85001,0.93227,0.72632,0.81139,0.43394,0.88096,0.0049015,0.0049015,0.0049015
105,3605.97,0.93137,0.50075,0.89637,0.92849,0.85761,0.93511,0.72962,0.80932,0.43124,0.88091,0.004852,0.004852,0.004852
106,3639.84,0.9318,0.49908,0.89738,0.92897,0.85881,0.93432,0.72934,0.81262,0.43048,0.88015,0.0048025,0.0048025,0.0048025
107,3673.31,0.93231,0.49954,0.8968,0.93423,0.85426,0.93435,0.73104,0.8094,0.43148,0.87817,0.004753,0.004753,0.004753
